iso3_r250_label,Year,n_TotalRetention(kg),n_EstimatedRetention(kg),n_Price(usd),n_ServiceValue(usd),p_TotalRetention(kg),p_EstimatedRetention(kg),p_Price(usd),p_ServiceValue(usd),DomesticWaterUseFraction
IRN,2019,14003661337.012672,3227256768.862658,1.3288006,4288380730.818762,2039850554.119442,470100022.4027523,4.6366825,2179704547.1244493,0.23045807029999998
CCK,2019,NA,NA,6.349662612,NA,NA,NA,22.15634831,NA,0.23045807029999998
NRU,2019,NA,NA,3.7377224,NA,NA,NA,13.042313,NA,0.23045807029999998
VUT,2019,20845067.93352272,4803914.131232054,1.1124377,5344055.187145284,14672722.973495722,3381447.4225183018,3.8817115,13125803.346634652,0.23045807029999998
BIH,2019,227838389.15123206,52507195.50405339,2.1234212,111494892.08585167,113303812.46656935,26111777.978678655,7.4094124,193472931.54126856,0.23045807029999998
GNB,2019,73021916.26293482,13105512.33905281,0.28003913,3670056.273632614,42423001.70906762,7613812.411549263,0.97716129,7439922.757887488,0.1794736842
IRL,2019,0.0,0.0,28.374184,0.0,0.0,0.0,99.008133,0.0,0.6254032802
TWN,2019,103622995.04751278,23880755.47735625,6.349662612,151634740.2008832,50481723.86560088,11633920.667483835,22.15634831,257765198.51967952,0.23045807029999998
GEO,2019,304414150.9948811,137754643.5722338,1.6444166,226526022.61726457,144954395.84079817,65595311.74230273,5.7379851,376384921.4071881,0.4525237842
DOM,2019,41572888.00885684,3969072.03281437,2.8381126,11264673.346638078,45076788.17707173,4303598.519414782,9.9032373,42619557.381693244,0.09547260782
SDN,2019,4851302137.14015,171105885.64970642,0.2462405,42133198.83532654,1090922992.7573092,38476957.23223002,0.85922527,33060373.966641296,0.03527009467
ZMB,2019,1496388316.6381657,276051279.7850352,0.43665361,120538787.86325565,764343387.2974309,141004823.35542384,1.523648,214841717.0958448,0.18447837150000002
PNG,2019,758057186.8938749,432098396.5008514,0.89335406,386016856.83352536,477829788.5284752,272366635.3847259,3.1172466,849033968.1064767,0.5700076511000001
SLV,2019,44011123.67843887,15092855.12349811,1.4983439,22614287.40787714,24833521.515320286,8516227.515013933,5.2282829,44525246.68925684,0.3429327375
USA,2019,28027558455.93217,3677126956.590276,22.622993,83187617399.05312,10273975837.120129,1347913110.6418412,78.940079,106404367439.20268,0.1311968348
KNA,2019,217184.05999267544,50051.81936583141,8.1836185,409604.99492087617,122931.72841662169,28330.608909538307,28.555712,809000.70880541,0.23045807029999998
NZL,2019,923304147.7585043,98660218.78355405,14.837102,1463831729.4339073,291740150.4059832,31174068.844895594,51.772205,1613950282.9220479,0.1068556001
LVA,2019,0.0,0.0,5.9984083,0.0,0.0,0.0,20.930693,0.0,0.5266283655
FSM,2019,319685.4387358002,73674.08931406138,1.239104,91289.85876541071,214643.05292093754,49466.22377946004,4.3236976,213876.9930363143,0.23045807029999998
STP,2019,1320700.184483447,304366.0159609092,0.67121696,204295.63196059293,845261.3992112316,194797.31096129835,2.3421273,456240.09996904613,0.23045807029999998
GUY,2019,294819546.6598492,12509474.77593108,2.22173,27792675.39392936,195111245.28494564,8278756.375026093,7.7524481,64180629.129933916,0.04243095452
NIU,2019,NA,NA,6.349662612,NA,NA,NA,22.15634831,NA,0.23045807029999998
MOZ,2019,1664362254.2014852,419561505.64972484,0.18003669,75536464.72859275,752202575.4602342,189619323.74818873,0.62821537,119121773.62761818,0.2520854487
NAM,2019,1764182568.7873163,458128391.7247598,1.6411704,751866755.8982807,500124341.7989175,129873837.56332998,5.7266579,743743037.8853604,0.2596830962
URY,2019,669012084.212557,65610786.26226482,6.3524375,416788419.05689585,228146776.21203926,22374617.325622164,22.166033,495956506.0021126,0.09807115269000001
KEN,2019,1026037587.208314,201619534.48797756,0.67992747,137086659.98698834,383790841.0420697,75416078.0037206,2.3725214,178926258.9678964,0.1965030687
GUM,2019,4357833.053500728,1004297.7961993343,13.621718,13680261.367848804,820845.6044003963,189170.4940043525,47.531277,8991515.150747718,0.23045807029999998
LUX,2019,13724742.803720912,3162977.741909333,39.086529,123629821.23549366,5648468.128762901,1301735.06510575,136.38751,177540404.20946112,0.23045807029999998
SLB,2019,28458224.903358787,6558427.59539147,0.77123284,5058074.740328135,18155184.201485574,4184008.7170154117,2.6911201,11259669.956935387,0.23045807029999998
AFG,2019,2059087019.6582577,20557618.20621082,0.17223644,3540770.974716937,470103143.77095354,4693439.789051092,0.60099745,2820745.3449482447,0.0099838511
