country,iso_code,year,w_agriculture,w_industry,w_munucipal
France,FRA,2005,3.933e+09,2.179e+10,5.683e+09
France,FRA,2010,3.143e+09,2.161e+10,5.481e+09
Gabon,GAB,1985,3600000,13200000,43200000
Gabon,GAB,2000,40300000,11400000,68600000
Gabon,GAB,2005,40300000,14100000,84700000
Gambia,GMB,1980,18200000,4e+05,1400000
Gambia,GMB,2000,39200000,17400000,33900000
Gambia,GMB,2005,,21200000,41200000
Georgia,GEO,2000,,195200000,3.36e+08
Georgia,GEO,2005,1.055e+09,4e+08,3.58e+08
Germany,DEU,1990,1.6e+09,,
Germany,DEU,1995,1.6e+09,3.78e+10,5.8e+09
Germany,DEU,2000,1.14e+09,3.26e+10,5.409e+09
Germany,DEU,2005,131700000,,
Germany,DEU,2010,210900000,,
Ghana,GHA,1970,1.56e+08,3.9e+07,1.05e+08
Ghana,GHA,2000,6.52e+08,9.5e+07,2.35e+08
Ghana,GHA,2010,,,2.55e+08
Ghana,GHA,2015,,,2.51e+08
Greece,GRC,1970,2.425e+09,,
Greece,GRC,1975,3.576e+09,114800000,5.85e+08
Greece,GRC,1985,4.6e+09,2.4e+08,6.56e+08
Greece,GRC,1990,7.9e+09,,
Greece,GRC,1995,7.6e+09,233900000,861400000
Greece,GRC,2000,8.42e+09,,
Greece,GRC,2005,8.458e+09,325500000,846200000
Greece,GRC,2010,7.918e+09,,1.293e+09
Grenada,GRD,1995,2200000,,
Grenada,GRD,2015,2100000,0,1.2e+07
Guatemala,GTM,1990,,1.97e+08,1.04e+08
Guatemala,GTM,2000,1.472e+09,,429800000
Guatemala,GTM,2005,1.886e+09,603100000,8.35e+08
Guinea,GIN,1985,6.44e+08,2.2e+07,7.4e+07
Guinea,GIN,2000,292900000,52100000,208300000
Guinea,GIN,2005,,56200000,224800000
Guinea-Bissau,GNB,1990,6e+06,6e+05,1e+07
Guinea-Bissau,GNB,1995,1.44e+08,8e+06,2.3e+07
Guinea-Bissau,GNB,2000,1.44e+08,8e+06,2.3e+07
Guinea-Bissau,GNB,2005,,11900000,34100000
Guyana,GUY,1990,1.438e+09,7e+06,1.5e+07
Guyana,GUY,2000,1.6e+09,1e+07,3e+07
Guyana,GUY,2005,,20400000,61300000
Guyana,GUY,2010,1.363e+09,20400000,61300000
Haiti,HTI,1990,924600000,5400000,49900000
Haiti,HTI,1995,1.169e+09,4600000,1.11e+08
Haiti,HTI,2010,1.209e+09,5.1e+07,1.9e+08
Honduras,HND,1990,,7.6e+07,6.1e+07
Honduras,HND,2005,1.178e+09,1.14e+08,3.15e+08
Hungary,HUN,1970,6.65e+08,1.667e+09,6.48e+08
Hungary,HUN,1975,890300000,2.312e+09,763100000
Hungary,HUN,1985,2.286e+09,3.493e+09,571500000
Hungary,HUN,1990,9.49e+08,5.204e+09,984100000
Hungary,HUN,1995,455600000,4.726e+09,828800000
Hungary,HUN,2000,679600000,4.209e+09,831100000
Hungary,HUN,2005,305400000,4.486e+09,7.93e+08
