iso_code,country,year,wue_industrial_usdpm3,wue_irrigation_usdpm3,wue_municipal_usdpm3,wue_general_usdpm3,w_agriculture,w_industry,w_munucipal,gep_water_agricultural,gep_water_industrial,gep_water_municipal
BRB,Barbados,2000,90.664476242,,159.893941039,,,,,,,
BRB,Barbados,2005,,,,,54800000,6200000,2e+07,,,
BRB,Barbados,2010,89.210663243,0.594453389,179.189896044,51.4750627,,,,,,
BRB,Barbados,2015,85.811451613,0.596543377,179.5435,51.303599717,,,,,,
BRN,Brunei,2005,,,,,,,138900000,,,
BRN,Brunei,2010,,,,,,,151500000,,,
BRN,Brunei Darussalam,2000,,4.286933535,,,,,,,,
BRN,Brunei Darussalam,2010,,3.641942024,28.483142979,,,,,,,
BRN,Brunei Darussalam,2015,,5.451650513,34.365093901,,,,,,,
BTN,Bhutan,2000,61.566368236,,24.145202566,,,,,,,
BTN,Bhutan,2010,131.692461728,0.217374395,49.884868642,3.882382277,3.18e+08,3e+06,1.7e+07,69125057.61,395077385.184,848042766.914
BTN,Bhutan,2015,185.380257,0.2775729,62.875933823,5.068934403,,,,,,
BWA,Botswana,2000,110.508277205,0.02142797,48.641285938,39.753430561,8e+07,3.5e+07,7.9e+07,1714237.6,3867789702.175,3842661589.102
BWA,Botswana,2005,,,,,,38900000,87800000,,,
BWA,Botswana,2010,124.675027386,0.026262993,69.608091018,52.680706519,,,,,,
BWA,Botswana,2015,157.259918264,0.059021915,89.095228734,68.049715099,,,,,,
CAF,Central African Republic,2000,32.506833253,0.166714163,14.49729808,17.403229399,4e+05,1.1e+07,54800000,66685.6652,357575165.783,794451934.784
CAF,Central African Republic,2005,,,,,4e+05,1.2e+07,60100000,,,
CAF,Central African Republic,2010,46.552327629,0.178194352,12.605619881,18.155820195,,,,,,
CAF,Central African Republic,2015,30.251805917,0.109318022,12.387322429,15.276461741,,,,,,
CAN,Canada,2000,9.927880121,,134.687201179,,,3.157e+10,5.413e+09,,313423175419.97,729061819981.927
CAN,Canada,2005,,,,,2.322e+09,3.312e+10,5.878e+09,,,
CAN,Canada,2010,10.96781583,0.18085471,179.245376255,31.778457185,4.749e+09,,,858879017.79,,
CAN,Canada,2015,12.403429053,0.370576621,215.388430247,40.487416352,,,,,,
CHE,Switzerland,2000,,,359.919983062,,5e+07,,1.069e+09,,,384754461893.278
CHE,Switzerland,2005,,,,,,,9.81e+08,,,
CHE,Switzerland,2010,,4.203300504,413.974375443,,160100000,642700000,1.202e+09,672948410.6904,,497597199282.486
CHE,Switzerland,2015,246.708933451,5.152560101,554.599352653,389.921622552,,,9.17e+08,,,508567606382.801
CHL,Chile,2000,17.660430665,,69.266244842,,,2.324e+09,1.043e+09,,41042840865.46,72244693370.206
CHL,Chile,2005,,,,,2.942e+10,4.744e+09,1.267e+09,,,
CHL,Chile,2010,18.751447977,0.180849862,88.10843079,5.367083115,,,,,,
CHL,Chile,2015,33.232677857,0.207491181,115.264089597,6.731071389,,,,,,
CHN,China,2000,11.278623864,0.682357041,19.291889894,4.823795619,3.784e+11,1.139e+11,5.75e+10,258203904314.4,1284635258109.6,1109283668905
CHN,China,2005,,,,,3.6e+11,1.403e+11,7.1e+10,,,
CHN,China,2010,23.057045808,1.39162955,46.417058547,12.54705753,3.88e+11,1.424e+11,7.29e+10,539952265400,3283323323059.2,3383803568076.3
CHN,China,2015,32.048364028,1.512655414,73.325080508,17.861800461,3.852e+11,1.335e+11,7.94e+10,582674865472.8,4278456597738,5822011392335.2
