city,country_iso,iso3_r250_id,year,month,kwh_diff,price_usd_per_kwh,total_savings_usd
22_9698,ITA,380.0,2019,9,3677.624693257693,0.168,617.8409484672925
22_9698,ITA,380.0,2019,10,992.18038041022,0.168,166.68630390891698
22_9706,ITA,380.0,2019,5,47035.15229372878,0.168,7901.905585346436
22_9706,ITA,380.0,2019,6,287359.6419701772,0.168,48276.41985098977
22_9706,ITA,380.0,2019,7,432946.0716503621,0.168,72734.94003726084
22_9706,ITA,380.0,2019,8,436506.2580575164,0.168,73333.05135366275
22_9706,ITA,380.0,2019,9,257156.04783789843,0.168,43202.216036766935
22_9706,ITA,380.0,2019,10,97678.98555731589,0.168,16410.06957362907
22_9707,ITA,380.0,2019,6,11435.453893756345,0.168,1921.1562541510657
22_9707,ITA,380.0,2019,7,15685.554275546576,0.168,2635.1731182918247
22_9707,ITA,380.0,2019,8,31423.33081055281,0.168,5279.119576172873
22_9707,ITA,380.0,2019,9,6054.49256757639,0.168,1017.1547513528336
22_9708,ITA,380.0,2019,6,24715.29057918853,0.168,4152.168817303675
22_9708,ITA,380.0,2019,7,37157.79121692151,0.168,6242.508924442814
22_9708,ITA,380.0,2019,8,24317.932451686404,0.168,4085.412651883316
22_9708,ITA,380.0,2019,9,12950.55577496909,0.168,2175.693370194808
22_9709,ITA,380.0,2019,5,16041.328651848053,0.168,2694.943213510473
22_9709,ITA,380.0,2019,6,4459.778137598238,0.168,749.2427271165039
22_9709,ITA,380.0,2019,7,10836.378554313154,0.168,1820.51159712461
22_9709,ITA,380.0,2019,8,3205.19484170889,0.168,538.4727334070936
22_9709,ITA,380.0,2019,9,5325.342997010407,0.168,894.6576234977484
22_9710,ITA,380.0,2019,6,16499.185885902567,0.168,2771.863228831631
22_9710,ITA,380.0,2019,7,16647.262841629246,0.168,2796.7401573937136
22_9710,ITA,380.0,2019,8,5031.903498131464,0.168,845.3597876860861
22_9710,ITA,380.0,2019,9,4383.389891296542,0.168,736.4095017378191
22_9711,ITA,380.0,2019,5,937.1347704731518,0.168,157.43864143948952
22_9711,ITA,380.0,2019,6,2385.984629580907,0.168,400.8454177695924
22_9711,ITA,380.0,2019,7,2847.4982723439875,0.168,478.37970975378994
22_9711,ITA,380.0,2019,8,5511.065559197735,0.168,925.8590139452195
22_9711,ITA,380.0,2019,9,2675.21024666423,0.168,449.43532143959067
22_9711,ITA,380.0,2019,10,1517.001345733868,0.168,254.85622608328984
22_9712,ITA,380.0,2019,6,47112.63979547539,0.168,7914.923485639866
22_9712,ITA,380.0,2019,7,48707.084297281246,0.168,8182.79016194325
22_9712,ITA,380.0,2019,8,31778.321360579404,0.168,5338.75798857734
22_9712,ITA,380.0,2019,9,24764.369768442382,0.168,4160.414121098321
22_9712,ITA,380.0,2019,10,14648.865149318744,0.168,2461.009345085549
22_9713,ITA,380.0,2019,5,15268.81114489578,0.168,2565.160272342491
22_9713,ITA,380.0,2019,6,21271.880122534007,0.168,3573.675860585713
22_9713,ITA,380.0,2019,7,44722.83468544942,0.168,7513.436227155504
22_9713,ITA,380.0,2019,8,16201.903047060949,0.168,2721.91971190624
22_9713,ITA,380.0,2019,9,20756.039936541896,0.168,3487.0147093390387
22_9713,ITA,380.0,2019,10,8281.74910418612,0.168,1391.333849503268
22_9714,ITA,380.0,2019,5,857.4053061631504,0.168,144.04409143540929
22_9714,ITA,380.0,2019,6,14726.88274957911,0.168,2474.116301929291
22_9714,ITA,380.0,2019,7,8728.654597362864,0.168,1466.4139723569613
22_9714,ITA,380.0,2019,8,16577.242841296105,0.168,2784.9767973377457
22_9714,ITA,380.0,2019,9,6020.980722639373,0.168,1011.5247614034148
22_9714,ITA,380.0,2019,10,14270.557665939936,0.168,2397.453687877909
22_9715,ITA,380.0,2019,6,45106.26188144747,0.168,7577.851996083175
22_9715,ITA,380.0,2019,7,100373.76564596944,0.168,16862.792628522868
22_9715,ITA,380.0,2019,8,84819.99220058932,0.168,14249.758689699009
22_9715,ITA,380.0,2019,9,66235.0384578942,0.168,11127.486460926228
22_9716,ITA,380.0,2019,6,18915.95357771385,0.168,3177.8802010559275
22_9716,ITA,380.0,2019,7,17995.915899433207,0.168,3023.313871104779
22_9716,ITA,380.0,2019,8,14501.01082084205,0.168,2436.1698179014643
22_9716,ITA,380.0,2019,9,20278.95241948867,0.168,3406.8640064740966
22_9717,ITA,380.0,2019,5,4420.877106423181,0.168,742.7073538790945
22_9717,ITA,380.0,2019,6,20307.130247344863,0.168,3411.597881553937
22_9717,ITA,380.0,2019,7,8517.945299739413,0.168,1431.0148103562217
22_9717,ITA,380.0,2019,8,24781.122751338306,0.168,4163.228622224836
22_9717,ITA,380.0,2019,9,7438.614622812298,0.168,1249.6872566324662
22_9717,ITA,380.0,2019,10,26207.83402472425,0.168,4402.916116153674
22_9718,ITA,380.0,2019,6,39862.12319502205,0.168,6696.836696763706
22_9718,ITA,380.0,2019,7,34256.30546873685,0.168,5755.059318747791
22_9718,ITA,380.0,2019,8,6012.036936874886,0.168,1010.0222053949808
22_9718,ITA,380.0,2019,9,10058.25529015847,0.168,1689.786888746623
22_9718,ITA,380.0,2019,10,11750.466702053876,0.168,1974.0784059450511
22_9719,ITA,380.0,2019,6,48507.70572882665,0.168,8149.294562442878
22_9719,ITA,380.0,2019,7,54465.34490121362,0.168,9150.177943403887
22_9719,ITA,380.0,2019,8,57484.07550873856,0.168,9657.324685468078
22_9719,ITA,380.0,2019,9,5914.403759459668,0.168,993.6198315892242
22_9720,ITA,380.0,2019,5,1573.7254508655683,0.168,264.3858757454155
22_9720,ITA,380.0,2019,6,25821.838584999903,0.168,4338.068882279984
22_9720,ITA,380.0,2019,7,22137.239510252304,0.168,3719.0562377223873
22_9720,ITA,380.0,2019,8,5622.554000542966,0.168,944.5890720912184
22_9720,ITA,380.0,2019,9,11958.043609708908,0.168,2008.9513264310967
22_9720,ITA,380.0,2019,10,11532.527689189124,0.168,1937.4646517837728
22_9723,ITA,380.0,2019,6,3784.278579752944,0.168,635.7588013984946
22_9723,ITA,380.0,2019,7,11066.933058135386,0.168,1859.244753766745
22_9723,ITA,380.0,2019,8,3946.020762390381,0.168,662.9314880815841
22_9723,ITA,380.0,2019,9,3310.412847616856,0.168,556.1493583996319
22_9726,ITA,380.0,2019,5,8843.928032295828,0.168,1485.779909425699
22_9726,ITA,380.0,2019,6,62809.98566273435,0.168,10552.077591339372
22_9726,ITA,380.0,2019,7,47877.5493859841,0.168,8043.428296845329
22_9726,ITA,380.0,2019,8,53492.4513597054,0.168,8986.731828430507
22_9726,ITA,380.0,2019,9,31707.61840697058,0.168,5326.879892371058
22_9726,ITA,380.0,2019,10,25273.415180771623,0.168,4245.933750369632
22_9727,ITA,380.0,2019,5,1456.8463319240343,0.168,244.75018376323783
22_9727,ITA,380.0,2019,6,3026.029516519313,0.168,508.37295877524457
22_9727,ITA,380.0,2019,7,4054.6302411567945,0.168,681.1778805143415
22_9727,ITA,380.0,2019,8,2704.4218520701675,0.168,454.3428711477882
22_9727,ITA,380.0,2019,9,3752.189041373695,0.168,630.3677589507809
22_9727,ITA,380.0,2019,10,3785.74674704367,0.168,636.0054535033366
22_9728,ITA,380.0,2019,6,27455.139515925985,0.168,4612.463438675566
22_9728,ITA,380.0,2019,7,46263.68535325566,0.168,7772.299139346952
22_9728,ITA,380.0,2019,8,22761.782747192283,0.168,3823.979501528304
22_9728,ITA,380.0,2019,9,10360.774477152976,0.168,1740.6101121617
22_9729,ITA,380.0,2019,6,19298.236137445903,0.168,3242.103671090912
22_9729,ITA,380.0,2019,7,28732.58184708412,0.168,4827.073750310133
22_9729,ITA,380.0,2019,8,34658.61286543719,0.168,5822.646961393449
22_9729,ITA,380.0,2019,9,7770.239748736821,0.168,1305.400277787786
22_9729,ITA,380.0,2019,10,14464.351756138652,0.168,2430.0110950312937
22_9730,ITA,380.0,2019,6,3921.417135030254,0.168,658.7980786850827
22_9730,ITA,380.0,2019,7,23571.272050520587,0.168,3959.9737044874582
22_9730,ITA,380.0,2019,8,14090.28322097152,0.168,2367.1675811232158
