brk_name,ee_r264_id,iso3_r250_id,iso3_r250_label,ee_r264_description
Kazakhstan,117.0,398.0,KAZ,Kazakhstan
Cook Is.,49.0,184.0,COK,Cook Islands
Haiti,101.0,332.0,HTI,Haiti
Portugal,183.0,620.0,PRT,Portugal
Saint Helena,197.0,654.0,SHN,"Saint Helena, Ascension and Tris"
American Samoa,11.0,16.0,ASM,American Samoa
Democratic Republic of the Congo,47.0,180.0,COD,Democratic Republic of the Congo
Gabon,79.0,266.0,GAB,Gabon
Rwanda,191.0,646.0,RWA,Rwanda
Cyprus,58.0,196.0,CYP,Cyprus
Aruba,1.0,533.0,ABW,Aruba
Guinea,85.0,324.0,GIN,Guinea
Dem. Rep. Korea,182.0,408.0,PRK,North Korea
Seychelles,214.0,690.0,SYC,Seychelles
Belize,30.0,84.0,BLZ,Belize
Monaco,139.0,492.0,MCO,Monaco
Isle of Man,104.0,833.0,IMN,Isle of Man
Cayman Is.,57.0,136.0,CYM,Cayman Islands
Republic of the Congo,48.0,178.0,COG,Republic of the Congo
Puerto Rico,181.0,630.0,PRI,Puerto Rico
St. Pierre and Miquelon,204.0,666.0,SPM,Saint Pierre and Miquelon
Gibraltar,84.0,292.0,GIB,Gibraltar
Belarus,29.0,112.0,BLR,Belarus
Kiribati,121.0,296.0,KIR,Kiribati
Tajikistan,220.0,762.0,TJK,Tajikistan
Jordan,115.0,400.0,JOR,Jordan
Burundi,18.0,108.0,BDI,Burundi
Niger,162.0,562.0,NER,Niger
Saint Lucia,129.0,662.0,LCA,Saint Lucia
Hong Kong,97.0,344.0,HKG,"China, Hong Kong Special Administrative Region"
Pakistan,173.0,586.0,PAK,Pakistan
France,188.0,638.0,REU,Réunion
Sint Maarten,213.0,534.0,SXM,Sint Maarten
Liechtenstein,130.0,438.0,LIE,Liechtenstein
Panama,174.0,591.0,PAN,Panama
S. Geo. and the Is.,196.0,239.0,SGS,South Georgia and the South Sand
St-BarthÃ©lemy,28.0,652.0,BLM,Saint Barthélemy
Montserrat,154.0,500.0,MSR,Montserrat
Armenia,10.0,51.0,ARM,Armenia
Libya,128.0,434.0,LBY,Libya
Bhutan,36.0,64.0,BTN,Bhutan
Lebanon,126.0,422.0,LBN,Lebanon
Macedonia,145.0,807.0,MKD,North Macedonia
Singapore,195.0,702.0,SGP,Singapore
Argentina,9.0,32.0,ARG,Argentina
Djibouti,61.0,262.0,DJI,Djibouti
Russia,190.0,643.0,RUS,Russia
Somalia,203.0,706.0,SOM,Somalia
Indonesia,103.0,360.0,IDN,Indonesia
United Arab Emirates,8.0,784.0,ARE,United Arab Emirates
Liberia,127.0,430.0,LBR,Liberia
Australia,56.0,162.0,CXR,Christmas Island
Ghana,83.0,288.0,GHA,Ghana
Cambodia,120.0,116.0,KHM,Cambodia
Ecuador,66.0,218.0,ECU,Ecuador
Ethiopia,72.0,231.0,ETH,Ethiopia
Croatia,100.0,191.0,HRV,Croatia
eSwatini,212.0,748.0,SWZ,Swaziland
Serbia,248.0,383.0,XKX,Kosovo
Yemen,251.0,887.0,YEM,Yemen
U.S. Minor Outlying Is.,233.0,581.0,UMI,United States Minor Outlying Isl
Guernsey,82.0,831.0,GGY,Guernsey
British Virgin Is.,240.0,92.0,VGB,British Virgin Islands
Azerbaijan,17.0,31.0,AZE,Azerbaijan
Mauritania,153.0,478.0,MRT,Mauritania
Cameroon,46.0,120.0,CMR,Cameroon
Fr. Polynesia,186.0,258.0,PYF,French Polynesia
Sweden,211.0,752.0,SWE,Sweden
Anguilla,4.0,660.0,AIA,Anguilla
CuraÃ§ao,55.0,531.0,CUW,Curaçao
Algeria,65.0,12.0,DZA,Algeria
Philippines,177.0,608.0,PHL,Philippines
Jersey,114.0,832.0,JEY,Jersey
Laos,125.0,418.0,LAO,Laos
Spain,70.0,724.0,ESP,Spain
Kyrgyzstan,119.0,417.0,KGZ,Kyrgyzstan
Estonia,71.0,233.0,EST,Estonia
